Time [h]	T [C]
0.00	-18.24
0.05	-18.30
0.10	-18.35
0.15	-18.41
0.20	-18.46
0.25	-18.51
0.30	-18.56
0.35	-18.61
0.40	-18.66
0.45	-18.71
0.50	-18.76
0.55	-18.81
0.60	-18.85
0.65	-18.90
0.70	-18.94
0.75	-18.99
0.80	-19.03
0.85	-19.07
0.90	-19.12
0.95	-19.16
1.00	-19.20
1.05	-19.23
1.10	-19.27
1.15	-19.31
1.20	-19.35
1.25	-19.38
1.30	-19.42
1.35	-19.45
1.40	-19.48
1.45	-19.51
1.50	-19.54
1.55	-19.57
1.60	-19.60
1.65	-19.63
1.70	-19.66
1.75	-19.68
1.80	-19.71
1.85	-19.73
1.90	-19.75
1.95	-19.77
2.00	-19.80
2.05	-19.82
2.10	-19.83
2.15	-19.85
2.20	-19.87
2.25	-19.88
2.30	-19.90
2.35	-19.91
2.40	-19.93
2.45	-19.94
2.50	-19.95
2.55	-19.96
2.60	-19.97
2.65	-19.97
2.70	-19.98
2.75	-19.99
2.80	-19.99
2.85	-20.00
2.90	-20.00
2.95	-20.00
3.00	-20.00
3.05	-20.00
3.10	-20.00
3.15	-20.00
3.20	-19.99
3.25	-19.99
3.30	-19.98
3.35	-19.97
3.40	-19.97
3.45	-19.96
3.50	-19.95
3.55	-19.94
3.60	-19.93
3.65	-19.91
3.70	-19.90
3.75	-19.88
3.80	-19.87
3.85	-19.85
3.90	-19.83
3.95	-19.82
4.00	-19.80
4.05	-19.77
4.10	-19.75
4.15	-19.73
4.20	-19.71
4.25	-19.68
4.30	-19.66
4.35	-19.63
4.40	-19.60
4.45	-19.57
4.50	-19.54
4.55	-19.51
4.60	-19.48
4.65	-19.45
4.70	-19.42
4.75	-19.38
4.80	-19.35
4.85	-19.31
4.90	-19.27
4.95	-19.24
5.00	-19.20
5.05	-19.16
5.10	-19.12
5.15	-19.07
5.20	-19.03
5.25	-18.99
5.30	-18.94
5.35	-18.90
5.40	-18.85
5.45	-18.81
5.50	-18.76
5.55	-18.71
5.60	-18.66
5.65	-18.61
5.70	-18.56
5.75	-18.51
5.80	-18.46
5.85	-18.41
5.90	-18.35
5.95	-18.30
6.00	-18.24
6.05	-18.19
6.10	-18.13
6.15	-18.07
6.20	-18.01
6.25	-17.96
6.30	-17.90
6.35	-17.84
6.40	-17.78
6.45	-17.71
6.50	-17.65
6.55	-17.59
6.60	-17.53
6.65	-17.46
6.70	-17.40
